"type","date","location","lon","lat"
"Other","09-01-2014","4800 BLOCK OF MANDERSON ST,Omaha, NE",-95.9855538,41.2932848
"Robbery","09-01-2014","8300 BLOCK OF MAPLE ST,Omaha, NE",-96.0422477,41.2851381
"Robbery","09-01-2014","N 72ND ST AND MILITARY AVE,Omaha, NE",-96.0238936,41.2977465
"Other","08-31-2014","PONCA RD AND CARDINAL CT,Omaha, NE",-95.9808658,41.3726524
"Other","08-28-2014","4500 BLOCK OF MAYBERRY ST,Omaha, NE",-95.980623,41.2506012
"Shooting","08-28-2014","N 30TH ST AND AMES AVE,Omaha, NE",-95.9565549,41.2995563
"Shooting","08-26-2014","DODGE ST AND N 43RD ST,Omaha, NE",-95.9769045,41.2596603
"Other","08-24-2014","N 45TH ST AND NICHOLAS ST,Omaha, NE",-95.9803452,41.2699969
"Assault","08-23-2014","3500 BLOCK OF CUMING ST,Omaha, NE",-95.9649042,41.2680376
"Assault","08-19-2014","4800 BLOCK OF AMES AVE,Omaha, NE",-95.9854954,41.2996454
"Robbery","08-06-2014","9000 BLOCK OF W CENTER RD,Omaha, NE",-96.052679,41.2343184
"Shooting","07-28-2014","5700 BLOCK OF S 32ND ST,Omaha, NE",-95.9611128,41.2005821
"Shooting","07-28-2014","5500 BLOCK OF S 30TH ST,Omaha, NE",-95.957734,41.2025004
"Shooting","07-20-2014","3300 BLOCK OF HOWARD ST,Omaha, NE",-95.9614021,41.2551238
"Shooting","07-20-2014","3300 BLOCK OF HOWARD ST,Omaha, NE",-95.9614021,41.2551238
"Other","07-18-2014","11800 BLOCK OF Q ST,Omaha, NE",-96.0985884,41.2053739
"Other","07-18-2014","2000 BLOCK OF CENTER STREET,Omaha, NE",-95.9661904,41.2414899
"Other","07-18-2014","2000 BLOCK OF CENTER STREET,Omaha, NE",-95.9661904,41.2414899
"Other","07-18-2014","2000 BLOCK OF CENTER STREET,Omaha, NE",-95.9661904,41.2414899
"Robbery","07-18-2014","7200 BLOCK OF CROWN POINT AVE,Omaha, NE",-96.023925,41.312807
"Other","07-17-2014","7000 BLOCK OF GROVER ST,Omaha, NE",-96.021513,41.2270249
"Other","07-11-2014","10900 BLOCK OF EMMET ST,Omaha, NE",-96.0824854,41.2897547
"Other","07-11-2014","2800 BLOCK OF T AV,Omaha, NE",-95.9596675,41.2024883
"Other","07-11-2014","300 BLOCK OF S 129 ST,Omaha, NE",-96.1135677,41.25588
"Other","07-11-2014","6200 BLOCK OF N 102 AV,Omaha, NE",-96.072486,41.3147857
"Other","07-11-2014","800 BLOCK OF DORCAS ST,Omaha, NE",-95.926755,41.2394389
"Vandalism","07-11-2014","3300 BLOCK OF FARNAM ST,Omaha, NE",-95.9615775,41.2577327
"Theft","07-11-2014","4500 BLOCK OF NICHOLAS ST,Omaha, NE",-95.9803662,41.270011
"Theft","07-11-2014","2500 BLOCK OF ABBOTT DR,Omaha, NE",-95.9223577,41.2733932
"Theft","07-11-2014","4200 BLOCK OF S 96 ST,Omaha, NE",-96.0623452,41.2182894
"Theft","07-11-2014","3500 BLOCK OF DAVENPORT ST,Omaha, NE",-95.9641207,41.261741
"Theft","07-11-2014","700 BLOCK OF N 108 AV,Omaha, NE",-96.0831401,41.2663536
"Theft","07-11-2014","10000 BLOCK OF GRAND PL,Omaha, NE",-96.0675604,41.3028028
"Theft","07-11-2014","17300 BLOCK OF SHARP ST,Omaha, NE",-96.1838565,41.2166694
"Theft","07-11-2014","3900 BLOCK OF YOUNG ST,Omaha, NE",-95.9725243,41.3313803
"Theft","07-11-2014","1900 BLOCK OF CASS ST,Omaha, NE",-95.9411287,41.2637542
"Theft","07-11-2014","12400 BLOCK OF WEST CENTER RD,Omaha, NE",-96.1075026,41.2341089
"Theft","07-11-2014","4800 BLOCK OF S 22 ST,Omaha, NE",-95.9443025,41.211029
"Theft","07-11-2014","500 BLOCK OF FORT ST,Omaha, NE",-95.9228874,41.3066546
"Theft","07-11-2014","3900 BLOCK OF BLONDO ST,Omaha, NE",-95.9701795,41.2777594
"Theft","07-11-2014","3000 BLOCK OF CASS ST,Omaha, NE",-95.9567345,41.2634241
"Theft","07-11-2014","5100 BLOCK OF L ST,Omaha, NE",-95.9936702,41.2125243
"Theft","07-11-2014","7000 BLOCK OF L ST,Omaha, NE",-96.0209236,41.2125432
"Other","07-10-2014","5100 BLOCK OF FLORENCE BD,Omaha, NE",-95.9423681,41.3048127
"Other","07-10-2014","3300 BLOCK OF N 93 AV,Omaha, NE",-96.0560278,41.2889369
"Other","07-10-2014","2700 BLOCK OF DODGE ST,Omaha, NE",-95.9518481,41.2597785
"Assault","07-10-2014","3600 BLOCK OF N 112 AV,Omaha, NE",-96.0870057,41.2913127
"Theft","07-10-2014","1100 BLOCK OF KAVAN ST,Omaha, NE",-95.9317667,41.2201666
"Theft","07-10-2014","7000 BLOCK OF L ST,Omaha, NE",-96.0209236,41.2125432
"Other","07-09-2014","4400 BLOCK OF N 72 ST,Omaha, NE",-96.0239246,41.2981062
"Other","07-09-2014","1500 BLOCK OF WILLIAM ST,Omaha, NE",-95.93602,41.2456292
"Other","07-09-2014","8800 BLOCK OF LAKEVIEW DR,Omaha, NE",-96.0507807,41.2092899
"Assault","07-08-2014","700 BLOCK OF S 37 ST,Omaha, NE",-95.9676093,41.2535847
"Vandalism","07-08-2014","4800 BLOCK OF S 137 ST,Omaha, NE",-96.1281155,41.209913
"Burglary","07-08-2014","4900 BLOCK OF N 16 ST,Omaha, NE",-95.9373453,41.303256
"Burglary","07-08-2014","2100 BLOCK OF S 40 ST,Omaha, NE",-95.9734301,41.2399512
"Burglary","07-08-2014","9900 BLOCK OF REDICK CR,Omaha, NE",-95.9630769,41.3175554
"Theft","07-08-2014","14700 BLOCK OF WEST MAPLE RD,Omaha, NE",-96.1437411,41.2922453
"Theft","07-08-2014","17200 BLOCK OF DAVENPORT ST,Omaha, NE",-96.1837486,41.2609987
"Theft","07-08-2014","3100 BLOCK OF S 24 ST,Omaha, NE",-95.9470658,41.2305899
